Zip Code,Neighbor,Neighbor,Neighbor,Neighbor,Neighbor,Neighbor,Neighbor,Neighbor,Neighbor,
91901,91901,91916,91935,92019,92021,92040,NA,NA,NA,NA
91902,91902,91910,91913,91914,91950,91977,92139,NA,NA,NA
91905,91905,91906,91934,91962,NA,NA,NA,NA,NA,NA
91906,91906,91905,91962,91963,NA,NA,NA,NA,NA,NA
91910,91910,91902,91911,91913,91950,NA,NA,NA,NA,NA
91911,91911,91910,91913,92154,NA,NA,NA,NA,NA,NA
91913,91913,91902,91910,91911,91914,91915,92154,NA,NA,NA
91914,91914,91902,91913,91915,NA,NA,NA,NA,NA,NA
91915,91915,91913,91914,92154,NA,NA,NA,NA,NA,NA
91916,91916,91901,92036,NA,NA,NA,NA,NA,NA,NA
91917,91917,91935,91963,91980,NA,NA,NA,NA,NA,NA
91932,91932,92118,92154,NA,NA,NA,NA,NA,NA,NA
91934,91934,91905,NA,NA,NA,NA,NA,NA,NA,NA
91935,91935,91901,91917,91978,92019,NA,NA,NA,NA,NA
91941,91941,91942,91945,91977,91978,92019,92020,92115,NA,NA
91942,91942,91941,92020,92115,92119,92120,NA,NA,NA,NA
91945,91945,91941,91977,92105,92114,92115,NA,NA,NA,NA
91950,91950,91902,91910,92113,92114,92139,NA,NA,NA,NA
91962,91962,91905,91906,NA,NA,NA,NA,NA,NA,NA
91963,91963,91906,91917,91980,NA,NA,NA,NA,NA,NA
91977,91977,91902,91941,91945,91978,92114,92139,NA,NA,NA
91978,91978,91935,91941,91977,92019,NA,NA,NA,NA,NA
91980,91980,91917,91963,NA,NA,NA,NA,NA,NA,NA
92003,92003,92026,92028,92057,92084,NA,NA,NA,NA,NA
92004,92004,92066,92086,NA,NA,NA,NA,NA,NA,NA
92007,92007,92024,92075,NA,NA,NA,NA,NA,NA,NA
92008,92008,92009,92010,92011,92024,92054,NA,NA,NA,NA
92009,92009,92008,92010,92011,92024,92029,92078,92081,NA,NA
92010,92010,92008,92009,92011,92054,92056,92078,92081,NA,NA
92011,92011,92008,92009,92010,92024,NA,NA,NA,NA,NA
92014,92014,92037,92075,92091,92121,92130,NA,NA,NA,NA
92019,92019,91901,91935,91941,91978,92020,92021,NA,NA,NA
92020,92020,91941,91942,92019,92021,92071,92119,NA,NA,NA
92021,92021,91901,92019,92020,92040,92071,NA,NA,NA,NA
92024,92024,92007,92008,92009,92011,92029,92075,92091,NA,NA
92025,92025,92026,92027,92029,92064,92065,92127,92128,NA,NA
92026,92026,92003,92025,92027,92028,92029,92069,92082,92084,NA
92027,92027,92025,92026,92065,92082,NA,NA,NA,NA,NA
92028,92028,92003,92026,92057,92058,92059,92082,NA,NA,NA
92029,92029,92009,92024,92025,92026,92069,92078,92127,NA,NA
92036,92036,91916,92070,92086,NA,NA,NA,NA,NA,NA
92037,92037,92014,92109,92121,92122,NA,NA,NA,NA,NA
92040,92040,91901,92021,92064,92065,92071,NA,NA,NA,NA
92054,92054,92008,92010,92055,92056,92057,92058,NA,NA,NA
92055,92055,92054,92058,NA,NA,NA,NA,NA,NA,NA
92056,92056,92010,92054,92057,92081,92083,92084,NA,NA,NA
92057,92057,92003,92028,92054,92056,92058,92084,NA,NA,NA
92058,92058,92028,92054,92055,92057,NA,NA,NA,NA,NA
92059,92059,92028,92061,92082,NA,NA,NA,NA,NA,NA
92061,92061,92059,92070,92082,NA,NA,NA,NA,NA,NA
92064,92064,92025,92040,92065,92128,92131,92145,NA,NA,NA
92065,92065,92025,92027,92040,92064,92070,92082,NA,NA,NA
92066,92066,92004,92086,NA,NA,NA,NA,NA,NA,NA
92069,92069,92026,92029,92078,92081,92083,92084,NA,NA,NA
92070,92070,92036,92061,92065,92082,92086,NA,NA,NA,NA
92071,92071,92020,92021,92040,92119,NA,NA,NA,NA,NA
92075,92075,92007,92014,92024,92091,92130,NA,NA,NA,NA
92078,92078,92009,92010,92029,92069,92081,92083,NA,NA,NA
92081,92081,92009,92010,92056,92069,92078,92083,NA,NA,NA
92082,92082,92026,92027,92028,92059,92061,92065,92070,NA,NA
